Round,Date,Time,Team 1,Team 2,FT,HT
12,1964-11-21,14:30,Eintracht Frankfurt,Borussia Neunkirchen,1-0,0-0
12,1964-11-21,14:30,Eintracht Braunschweig,Hertha BSC,1-1,0-1
13,1964-11-28,14:30,1. FC Köln,Hamburger SV,3-0,3-0
13,1964-11-28,14:30,1. FC Nürnberg,Borussia Dortmund,1-0,0-0
13,1964-11-28,14:30,FC Schalke 04,TSV 1860 München,2-2,1-1
13,1964-11-28,14:30,VfB Stuttgart,Eintracht Frankfurt,1-2,1-2
13,1964-11-28,14:30,Borussia Neunkirchen,Hannover 96,2-1,0-0
13,1964-11-28,14:30,Eintracht Braunschweig,1. FC Kaiserslautern,2-0,1-0
13,1964-11-28,14:30,Hertha BSC,Karlsruher SC,2-1,0-0
13,1964-11-28,18:30,Werder Bremen,MSV Duisburg,1-0,0-0
14,1964-12-05,14:15,Hamburger SV,TSV 1860 München,3-2,1-2
14,1964-12-05,14:15,Borussia Dortmund,Werder Bremen,1-2,1-1
14,1964-12-05,14:15,1. FC Nürnberg,1. FC Köln,3-0,2-0
14,1964-12-05,14:15,Hannover 96,VfB Stuttgart,2-1,1-0
14,1964-12-05,14:15,Eintracht Frankfurt,Eintracht Braunschweig,2-2,1-0
14,1964-12-05,14:15,Borussia Neunkirchen,Hertha BSC,2-2,2-1
14,1964-12-05,18:30,Karlsruher SC,1. FC Kaiserslautern,6-1,3-1
14,1964-12-05,18:30,MSV Duisburg,FC Schalke 04,2-1,0-1
15,1964-12-12,14:00,Hertha BSC,Hannover 96,1-1,0-1
15,1964-12-12,14:15,VfB Stuttgart,Borussia Neunkirchen,3-2,2-0
15,1964-12-12,14:15,1. FC Kaiserslautern,Eintracht Frankfurt,0-1,0-0
15,1964-12-12,14:15,1. FC Köln,Borussia Dortmund,3-3,1-0
15,1964-12-12,14:15,FC Schalke 04,Hamburger SV,3-1,2-0
15,1964-12-12,14:15,TSV 1860 München,MSV Duisburg,2-1,1-1
15,1964-12-12,18:30,Werder Bremen,1. FC Nürnberg,1-1,1-0
15,1964-12-12,18:30,Eintracht Braunschweig,Karlsruher SC,3-0,1-0
16,1964-12-19,14:00,Hertha BSC,1. FC Köln,1-3,1-3
16,1964-12-19,14:15,FC Schalke 04,Eintracht Frankfurt,1-1,0-0
16,1964-12-19,14:15,Hannover 96,Borussia Dortmund,2-0,2-0
16,1964-12-19,14:15,TSV 1860 München,Eintracht Braunschweig,2-0,0-0
16,1964-12-19,14:15,MSV Duisburg,Karlsruher SC,1-1,1-1
16,1964-12-19,14:15,Borussia Neunkirchen,1. FC Nürnberg,1-1,1-0
16,1964-12-19,18:30,Werder Bremen,1. FC Kaiserslautern,1-1,0-1
16,1964-12-19,18:30,VfB Stuttgart,Hamburger SV,2-4,1-2
17,1964-12-31,15:00,1. FC Nürnberg,VfB Stuttgart,1-1,0-1
17,1965-01-02,15:00,1. FC Köln,Hannover 96,0-1,0-1
17,1965-01-02,15:00,Hamburger SV,Hertha BSC,4-1,3-1
17,1965-01-02,15:00,Karlsruher SC,FC Schalke 04,2-2,1-1
17,1965-01-02,15:00,Borussia Dortmund,Borussia Neunkirchen,5-1,1-0
17,1965-01-02,15:00,1. FC Kaiserslautern,MSV Duisburg,2-0,0-0
17,1965-01-02,15:00,Eintracht Braunschweig,Werder Bremen,1-1,1-0
17,1965-01-02,15:00,Eintracht Frankfurt,TSV 1860 München,4-1,2-0
18,1965-01-09,14:00,Hertha BSC,1. FC Nürnberg,1-2,0-1
18,1965-01-09,14:15,Hannover 96,Hamburger SV,1-2,0-1
18,1965-01-09,14:15,Borussia Neunkirchen,1. FC Köln,1-1,1-1
18,1965-01-09,15:00,VfB Stuttgart,Borussia Dortmund,3-2,2-2
18,1965-01-09,15:00,Werder Bremen,Eintracht Frankfurt,2-2,1-0
18,1965-01-09,15:00,FC Schalke 04,1. FC Kaiserslautern,1-0,0-0
18,1965-01-09,15:00,MSV Duisburg,Eintracht Braunschweig,2-0,0-0
18,1965-02-27,15:00,TSV 1860 München,Karlsruher SC,9-0,5-0
19,1965-01-23,15:30,1. FC Köln,VfB Stuttgart,2-1,1-0
19,1965-01-23,15:30,1. FC Nürnberg,Hannover 96,1-0,0-0
19,1965-01-23,15:30,Eintracht Frankfurt,MSV Duisburg,2-3,1-0
19,1965-01-23,15:30,1. FC Kaiserslautern,TSV 1860 München,1-2,1-1
19,1965-01-23,15:30,Eintracht Braunschweig,FC Schalke 04,1-2,1-1
19,1965-01-23,15:30,Karlsruher SC,Werder Bremen,0-2,0-1
19,1965-01-23,15:30,Hamburger SV,Borussia Neunkirchen,1-2,0-2
19,1965-01-23,15:30,Borussia Dortmund,Hertha BSC,6-3,4-1
20,1965-01-30,15:00,FC Schalke 04,1. FC Nürnberg,1-3,1-1
20,1965-01-30,15:00,MSV Duisburg,Hamburger SV,3-2,0-0
20,1965-01-30,15:00,Werder Bremen,1. FC Köln,0-0,0-0
20,1965-01-30,15:00,Hertha BSC,VfB Stuttgart,0-0,0-0
20,1965-01-30,15:00,TSV 1860 München,Borussia Dortmund,4-4,2-2
20,1965-01-30,15:00,Borussia Neunkirchen,Eintracht Braunschweig,0-0,0-0
20,1965-01-30,15:00,Karlsruher SC,Eintracht Frankfurt,3-1,1-1
20,1965-04-14,18:15,Hannover 96,1. FC Kaiserslautern,4-0,2-0
21,1965-02-13,15:00,1. FC Nürnberg,TSV 1860 München,2-2,1-1
21,1965-02-13,15:00,Hamburger SV,Werder Bremen,0-4,0-2
21,1965-02-13,15:00,1. FC Köln,MSV Duisburg,1-2,0-0
21,1965-02-13,15:00,Borussia Dortmund,FC Schalke 04,4-0,4-0
21,1965-02-13,15:00,VfB Stuttgart,Karlsruher SC,1-2,0-1
21,1965-02-13,15:00,Eintracht Frankfurt,Hertha BSC,3-0,1-0
21,1965-02-13,15:00,Eintracht Braunschweig,Hannover 96,2-2,2-1
21,1965-02-27,15:00,1. FC Kaiserslautern,Borussia Neunkirchen,2-0,1-0
22,1965-02-20,15:00,TSV 1860 München,Hertha BSC,6-4,3-1
22,1965-02-20,15:00,Eintracht Braunschweig,1. FC Köln,1-1,1-1
22,1965-02-20,15:00,1. FC Kaiserslautern,Borussia Dortmund,1-3,1-2
22,1965-02-20,15:00,Karlsruher SC,1. FC Nürnberg,1-1,0-1
22,1965-02-20,15:00,Werder Bremen,Hannover 96,3-0,1-0
22,1965-02-20,15:00,Eintracht Frankfurt,Hamburger SV,2-1,0-1
22,1965-02-20,15:00,FC Schalke 04,VfB Stuttgart,3-1,1-0
22,1965-02-20,15:00,MSV Duisburg,Borussia Neunkirchen,1-1,0-0
23,1965-03-06,16:00,Hannover 96,TSV 1860 München,0-2,0-0
23,1965-03-06,16:00,1. FC Nürnberg,1. FC Kaiserslautern,1-0,0-0
23,1965-03-06,16:00,Hamburger SV,Karlsruher SC,2-1,1-1
23,1965-03-06,16:00,Borussia Dortmund,Eintracht Braunschweig,5-4,1-1
23,1965-03-06,16:00,Borussia Neunkirchen,Werder Bremen,1-1,0-0
23,1965-03-06,16:00,1. FC Köln,Eintracht Frankfurt,3-4,1-1
23,1965-03-12,16:00,VfB Stuttgart,MSV Duisburg,4-2,2-0
23,1965-03-13,16:00,Hertha BSC,FC Schalke 04,2-1,1-0
24,1965-03-20,16:00,1. FC Kaiserslautern,Hamburger SV,2-1,1-1
24,1965-03-20,16:00,MSV Duisburg,Hertha BSC,2-2,1-2
24,1965-03-20,16:00,Eintracht Frankfurt,Borussia Dortmund,0-2,0-0
24,1965-03-20,16:00,Eintracht Braunschweig,1. FC Nürnberg,1-0,0-0
24,1965-03-20,16:00,Werder Bremen,VfB Stuttgart,1-0,0-0
24,1965-03-20,16:00,TSV 1860 München,Borussia Neunkirchen,4-2,2-0
24,1965-03-20,16:00,Karlsruher SC,1. FC Köln,2-4,1-1
24,1965-03-20,16:00,FC Schalke 04,Hannover 96,2-2,2-1
25,1965-03-27,16:00,Hamburger SV,Eintracht Braunschweig,0-1,0-0
25,1965-03-27,16:00,Borussia Dortmund,Karlsruher SC,5-1,2-1
25,1965-03-27,16:00,1. FC Nürnberg,Eintracht Frankfurt,0-0,0-0
25,1965-03-27,16:00,VfB Stuttgart,TSV 1860 München,3-0,2-0
25,1965-03-27,16:00,Hannover 96,MSV Duisburg,2-0,2-0
25,1965-03-27,16:00,1. FC Köln,1. FC Kaiserslautern,3-0,0-0
25,1965-03-27,16:00,Hertha BSC,Werder Bremen,0-0,0-0
25,1965-04-02,16:00,Borussia Neunkirchen,FC Schalke 04,3-2,1-1
26,1965-04-03,16:00,1. FC Kaiserslautern,Hertha BSC,1-2,1-0
26,1965-04-03,16:00,TSV 1860 München,1. FC Köln,2-3,0-2
26,1965-04-03,16:00,FC Schalke 04,Werder Bremen,1-0,1-0
26,1965-04-03,16:00,Eintracht Braunschweig,VfB Stuttgart,2-1,1-1
26,1965-04-03,16:00,Hamburger SV,1. FC Nürnberg,2-1,1-0
26,1965-04-03,16:00,MSV Duisburg,Borussia Dortmund,3-2,2-0
26,1965-04-03,16:00,Karlsruher SC,Borussia Neunkirchen,2-1,2-0
26,1965-04-03,16:00,Eintracht Frankfurt,Hannover 96,3-3,1-1
27,1965-04-10,16:00,1. FC Köln,FC Schalke 04,2-1,1-0
27,1965-04-10,16:00,Borussia Dortmund,Hamburger SV,2-0,1-0
27,1965-04-10,16:00,1. FC Nürnberg,MSV Duisburg,1-1,1-1
27,1965-04-10,16:00,Werder Bremen,TSV 1860 München,3-2,1-2
27,1965-04-10,16:00,Hannover 96,Karlsruher SC,4-2,3-0
27,1965-04-10,16:00,VfB Stuttgart,1. FC Kaiserslautern,1-0,0-0
27,1965-04-10,16:00,Borussia Neunkirchen,Eintracht Frankfurt,4-0,2-0
27,1965-04-10,16:00,Hertha BSC,Eintracht Braunschweig,0-3,0-0
28,1965-04-30,20:00,Hamburger SV,1. FC Köln,0-0,0-0
28,1965-04-30,20:00,Borussia Dortmund,1. FC Nürnberg,2-1,1-0
28,1965-04-30,20:00,TSV 1860 München,FC Schalke 04,3-1,1-0
28,1965-04-30,20:00,Eintracht Frankfurt,VfB Stuttgart,2-3,1-2
28,1965-04-30,20:00,Hannover 96,Borussia Neunkirchen,1-1,0-1
28,1965-04-30,20:00,1. FC Kaiserslautern,Eintracht Braunschweig,2-1,0-0
28,1965-04-30,20:00,Karlsruher SC,Hertha BSC,0-1,0-0
28,1965-04-30,20:00,MSV Duisburg,Werder Bremen,2-2,0-1
29,1965-05-08,16:00,TSV 1860 München,Hamburger SV,4-1,2-1
29,1965-05-08,16:00,1. FC Kaiserslautern,Karlsruher SC,0-1,0-1
29,1965-05-08,16:00,Werder Bremen,Borussia Dortmund,3-0,2-0
29,1965-05-08,16:00,1. FC Köln,1. FC Nürnberg,0-0,0-0
29,1965-05-08,16:00,VfB Stuttgart,Hannover 96,0-3,0-2
29,1965-05-08,16:00,Eintracht Braunschweig,Eintracht Frankfurt,3-2,1-1
29,1965-05-08,16:00,Hertha BSC,Borussia Neunkirchen,1-1,0-1
29,1965-05-08,16:00,FC Schalke 04,MSV Duisburg,1-2,0-1
30,1965-05-15,16:00,Borussia Neunkirchen,VfB Stuttgart,3-1,2-0
30,1965-05-15,16:00,1. FC Nürnberg,Werder Bremen,2-3,2-2
30,1965-05-15,16:00,Eintracht Frankfurt,1. FC Kaiserslautern,1-2,1-1
30,1965-05-15,16:00,Borussia Dortmund,1. FC Köln,2-2,1-1
30,1965-05-15,16:00,Hannover 96,Hertha BSC,3-1,1-1
30,1965-05-15,16:00,Hamburger SV,FC Schalke 04,2-4,1-1
30,1965-05-15,16:00,Karlsruher SC,Eintracht Braunschweig,3-0,0-0
30,1965-05-15,16:00,MSV Duisburg,TSV 1860 München,3-0,1-0
